S.no,City,Number of Beds,Number of Homes,Province,Population,NoB required (raw),NoB req,Discrepancy
99,theodore,19,1,Saskatchewan,345,4.32009552,5,-14
100,tisdale,72,1,Saskatchewan,3180,39.82001088,40,-32
101,turtleford,20,1,Saskatchewan,525,6.5740584,7,-13
102,unity,32,1,Saskatchewan,2573,32.21914717,33,1
103,wadena,45,1,Saskatchewan,1306,16.3537529,17,-28
104,wakaw,46,1,Saskatchewan,985,12.33418576,13,-33
105,warman,31,1,Saskatchewan,11020,137.9926163,138,107
106,watrous,43,1,Saskatchewan,1900,23.7918304,24,-19
107,watson,51,1,Saskatchewan,777,9.729606432,10,-41
108,wawota,29,1,Saskatchewan,560,7.01232896,8,-21
109,weyburn,208,2,Saskatchewan,10870,136.1143139,137,-71
110,whitewood,30,1,Saskatchewan,950,11.8959152,12,-18
111,wilkie,29,1,Saskatchewan,1301,16.29114282,17,-12
112,wolseley,78,1,Saskatchewan,864,10.81902182,11,-67
113,wynyard,57,1,Saskatchewan,1767,22.12640227,23,-34
114,yorkton,93,1,Saskatchewan,16343,204.6473075,205,112
