S.no,City,Number of Beds,Number of Homes,Province,Population,NoB required (raw),NoB req,Discrepancy
105,montreal,3229,200,Quebec,3519595,495460.4273,495461,492232
106,mont-royal,2,1,Quebec,19503,2745.476316,2746,2744
107,mont-saint-hilaire,5,2,Quebec,18200,2562.0504,2563,2558
108,mont-tremblant,13,1,Quebec,9646,1357.886712,1358,1345
109,new carlisle,4,1,Quebec,1388,195.391536,196,192
110,new richmond,1,1,Quebec,3810,536.34132,537,536
111,nicolet,9,4,Quebec,7828,1101.963216,1102,1093
112,normandin,3,2,Quebec,3137,441.601764,442,439
113,notre-dame-des-pins,5,1,Quebec,1227,172.727244,173,168
114,notre-dame-du-bon-conseil,3,2,Quebec,1404,197.643888,198,195
115,ormstown,14,1,Quebec,3595,506.07534,507,493
116,pincourt,1,1,Quebec,14558,2049.358776,2050,2049
117,pont-rouge,3,1,Quebec,8723,1227.954156,1228,1225
118,portneuf,3,2,Quebec,3187,448.640364,449,446
119,prevost,1,1,Quebec,12171,1713.336012,1714,1713
120,quebec,290,2,Quebec,7903001,1112521.257,1112522,1112232
121,quebec city,769,74,Quebec,705103,99258.75952,99259,98490
122,racine,3,1,Quebec,1252,176.246544,177,174
123,rawdon,11,4,Quebec,10416,1466.281152,1467,1456
124,repentigny,73,8,Quebec,84965,11960.69298,11961,11888
125,richelieu,2,2,Quebec,5467,769.600524,770,768
126,richmond,4,1,Quebec,198309,27916.35455,27917,27913
127,rigaud,8,3,Quebec,7566,1065.080952,1066,1058
128,rimouski,11,5,Quebec,48664,6850.528608,6851,6840
129,riviere-bleue,2,1,Quebec,1299,182.862828,183,181
130,riviere-du-loup,8,6,Quebec,34375,4839.0375,4840,4832
131,riviere-rouge,14,1,Quebec,4645,653.88594,654,640
132,roberval,5,2,Quebec,10227,1439.675244,1440,1435
133,rosemere,17,1,Quebec,14294,2012.194968,2013,1996
134,rouyn-noranda,8,2,Quebec,42334,5959.441848,5960,5952
135,saguenay,63,9,Quebec,144746,20376.18391,20377,20314
136,saint-andre-avellin,20,2,Quebec,3702,521.137944,522,502
137,saint-augustin-de-desmaures,47,2,Quebec,18141,2553.744852,2554,2507
138,saint-basile-le-grand,23,2,Quebec,16736,2355.960192,2356,2333
139,saint-bernard,1,1,Quebec,2131,299.985132,300,299
140,saint-cesaire,1,1,Quebec,5686,800.429592,801,800
141,saint-charles-borromee,52,6,Quebec,13321,1875.223812,1876,1824
142,saint-damase,1,1,Quebec,2506,352.774632,353,352
143,sainte-adele,1,1,Quebec,12137,1708.549764,1709,1708
144,sainte-adele,1,1,Quebec,12137,1708.549764,1709,1708
145,sainte-agathe,3,1,Quebec,611,86.011692,87,84
146,sainte-agathe-des-monts,10,2,Quebec,10223,1439.112156,1440,1430
147,sainte-anne-de-bellevue,16,1,Quebec,4958,697.947576,698,682
148,sainte-catherine,6,4,Quebec,16762,2359.620264,2360,2354
149,sainte-claire,4,1,Quebec,3325,468.0669,469,465
150,sainte-croix,1,1,Quebec,2352,331.095744,332,331
151,sainte-henedine,9,1,Quebec,1212,170.615664,171,162
152,sainte-julie,13,2,Quebec,30104,4237.800288,4238,4225
153,sainte-justine,4,2,Quebec,1845,259.72434,260,256
154,sainte-luce,1,1,Quebec,2851,401.340972,402,401
155,sainte-marie,2,1,Quebec,12889,1814.410308,1815,1813
156,sainte-marie-salome,21,2,Quebec,1164,163.858608,164,143
157,sainte-monique,1,1,Quebec,212,29.843664,30,29
158,sainte-thecle,3,1,Quebec,2478,348.833016,349,346
159,sainte-therese,89,5,Quebec,26025,3663.5913,3664,3575
160,saint-eustache,68,7,Quebec,44154,6215.646888,6216,6148
161,saint-fabien-de-panet,2,1,Quebec,992,139.645824,140,138
162,saint-felicien,1,1,Quebec,10278,1446.854616,1447,1446
163,saint-gabriel,1,1,Quebec,2844,400.355568,401,400
164,saint-georges,20,5,Quebec,31173,4388.285556,4389,4369
165,saint-hyacinthe,149,9,Quebec,59614,8391.982008,8392,8243
166,saint-jean-de-dieu,2,1,Quebec,1606,226.079832,227,225
167,saint-jean-de-matha,2,1,Quebec,4335,610.24662,611,609
168,saint-jean-sur-richelieu,71,8,Quebec,92394,13006.48817,13007,12936
169,saint-jerome,106,11,Quebec,68456,9636.688032,9637,9531
170,saint-joseph-de-lepage,5,1,Quebec,527,74.186844,75,70
171,saint-lambert,123,8,Quebec,21861,3077.416692,3078,2955
172,saint-laurent,11,1,Quebec,215,30.26598,31,20
173,saint-leonard-d'aston,3,1,Quebec,982,138.238104,139,136
174,saint-liboire,2,1,Quebec,3051,429.495372,430,428
175,saint-ludger,3,1,Quebec,1255,176.66886,177,174
176,saint-mathieu,5,1,Quebec,1879,264.510588,265,260
177,saint-maurice,5,1,Quebec,2775,390.6423,391,386
178,saint-michel-des-saints,1,1,Quebec,2436,342.920592,343,342
179,saint-ours,2,1,Quebec,1721,242.268612,243,241
180,saint-pierre-les-becquets,1,1,Quebec,1223,172.164156,173,172
181,saint-raphael,9,1,Quebec,2463,346.721436,347,338
182,saint-raymond,9,1,Quebec,9615,1353.52278,1354,1345
183,saint-remi,11,3,Quebec,7265,1022.70858,1023,1012
184,saint-roch-de-l'achigan,4,1,Quebec,4892,688.656624,689,685
185,saint-sauveur,23,3,Quebec,9881,1390.968132,1391,1368
186,saint-tite,15,1,Quebec,3880,546.19536,547,532
187,saint-victor,13,1,Quebec,2430,342.07596,343,330
188,salaberry-de-valleyfield,99,12,Quebec,42410,5970.14052,5971,5872
189,selkirk,1,1,Quebec,10278,1446.854616,1447,1446
190,senneterre,1,1,Quebec,2953,415.699716,416,415
191,sept-iles,6,1,Quebec,28534,4016.788248,4017,4011
192,sept-iles,3,3,Quebec,25686,3615.869592,3616,3613
193,shawinigan,75,11,Quebec,50060,7047.04632,7048,6973
194,sherbrooke,132,22,Quebec,161323,22709.76136,22710,22578
195,sorel-tracy,44,8,Quebec,41629,5860.197588,5861,5817
196,stratford,1,1,Quebec,31465,4429.39098,4430,4429
197,temiscouata-sur-le-lac,1,1,Quebec,5096,717.374112,718,717
198,terrebonne,65,6,Quebec,111575,15706.6359,15707,15642
199,thetford mines,31,12,Quebec,25709,3619.107348,3620,3589
200,tring-jonction,1,1,Quebec,1473,207.357156,208,207
201,trois-pistoles,5,2,Quebec,3456,486.508032,487,482
202,trois-rivieres,182,23,Quebec,131338,18488.71294,18489,18307
203,valcourt,5,1,Quebec,2349,330.673428,331,326
204,varennes,24,2,Quebec,20994,2955.367368,2956,2932
205,vaudreuil-dorion,37,4,Quebec,38117,5365.806324,5366,5329
206,vaudreuil-soulanges,3,2,Quebec,139353,19617.00052,19618,19615
207,victoriaville,54,8,Quebec,45309,6378.238548,6379,6325
208,ville-marie,1,1,Quebec,2595,365.30334,366,365
209,warwick,9,2,Quebec,4766,670.919352,671,662
210,waterloo,9,2,Quebec,104986,14779.08919,14780,14771
211,westmount,21,2,Quebec,19931,2805.726732,2806,2785
212,windsor,2,1,Quebec,276165,38876.29938,38877,38875
213,winnipeg,11,1,Quebec,705244,99278.60837,99279,99268
