S.no,City,NoB,NoH,Province,Population,NoB required (raw),NoB req,Discrepancy
106,port hope,285,3,Ontario,16753,2159.464883,2160,1875
107,powassan,128,1,Ontario,3455,445.3501565,446,318
108,prescott,60,1,Ontario,3965,511.0892534,512,452
109,puslinch,28,1,Ontario,7336,945.6117938,946,918
110,rainy river,21,1,Ontario,20370,2625.69687,2626,2605
111,red lake,32,1,Ontario,4107,529.3930803,530,498
112,renfrew,259,2,Ontario,8223,1059.946262,1060,801
113,richmond hill,656,5,Ontario,195022,25138.37285,25139,24483
114,sarnia,708,6,Ontario,71594,9228.480203,9229,8521
115,sault ste. marie,790,5,Ontario,73368,9457.14914,9458,8668
116,shelburne,220,2,Ontario,8126,1047.442944,1048,828
117,simcoe,349,3,Ontario,446063,57497.60545,57498,57149
118,sioux lookout,20,1,Ontario,5272,679.5618017,680,660
119,smiths falls,75,1,Ontario,8780,1131.743668,1132,1057
120,smooth rock falls,20,1,Ontario,1330,171.4372527,172,152
121,southampton,84,1,Ontario,1484,191.287882,192,108
122,southwold,64,1,Ontario,4421,569.86774,570,506
123,st. catharines,1199,9,Ontario,309319,39871.27787,39872,38673
124,st. marys,122,2,Ontario,7265,936.4598804,937,815
125,st. thomas,402,4,Ontario,61707,7954.044024,7955,7553
126,stirling,75,1,Ontario,1090,140.5012071,141,66
127,stouffville,241,2,Ontario,45837,5908.398009,5909,5668
128,stratford,323,4,Ontario,31465,4055.844478,4056,3733
129,sudbury,1166,5,Ontario,88054,11350.17733,11351,10185
130,tecumseh,330,3,Ontario,23229,2994.222514,2995,2665
131,terrace bay,22,1,Ontario,1611,207.6582061,208,186
132,thessalon,96,1,Ontario,1279,164.863343,165,69
133,thunder bay,1109,6,Ontario,107909,13909.4906,13910,12801
134,tillsonburg,137,2,Ontario,15872,2045.903816,2046,1909
135,timmins,357,2,Ontario,41788,5386.48114,5387,5030
136,toronto,4911,29,Ontario,5429524,699866.6752,699867,694956
137,trenton,224,2,Ontario,2474,318.8990701,319,95
138,tweed,128,1,Ontario,6044,779.0727484,780,652
139,uxbridge,100,1,Ontario,21176,2729.590423,2730,2630
140,vaughan,160,1,Ontario,306233,39473.49188,39474,39314
141,wardsville,60,1,Ontario,431,55.55598189,56,-4
142,waterloo,528,4,Ontario,104986,13532.71535,13533,13005
143,wawa,22,1,Ontario,2905,374.455052,375,353
144,welland,473,5,Ontario,52293,6740.577636,6741,6268
145,whitby,454,3,Ontario,128377,16547.81969,16548,16094
146,winchester,98,1,Ontario,508,65.48129652,66,-32
147,windsor,1420,9,Ontario,276165,35597.72097,35598,34178
148,woodstock,315,2,Ontario,40902,5272.275571,5273,4958
149,york,338,2,Ontario,97238,12533.99668,12534,12196
150,zurich,65,1,Ontario,865,111.4986644,112,47
