,City,Number of Beds,Number of Homes,Province,Population
678,kelvington,45,1,Saskatchewan,890
679,kerrobert,30,1,Saskatchewan,1061
680,kindersley,79,1,Saskatchewan,4597
681,kinistino,30,1,Saskatchewan,743
682,kipling,32,1,Saskatchewan,1140
683,kyle,17,1,Saskatchewan,437
684,la loche,,1,Saskatchewan,2827
685,la ronge,14,1,Saskatchewan,5671
686,lafleche,16,1,Saskatchewan,406
687,lampman,19,1,Saskatchewan,713
688,langham,17,1,Saskatchewan,1496
689,lanigan,35,1,Saskatchewan,1233
690,leader,122,2,Saskatchewan,821
691,leask,29,1,Saskatchewan,413
692,leoville,16,1,Saskatchewan,366
693,leroy,,1,Saskatchewan,427
694,lestock,10,1,Saskatchewan,125
695,lloydminster,60,3,Saskatchewan,31410
696,lumsden,30,1,Saskatchewan,1824
697,macklin,22,1,Saskatchewan,1415
698,maidstone,0,1,Saskatchewan,1156
699,mankota,15,1,Saskatchewan,211
700,maple creek,45,1,Saskatchewan,2084
701,meadow lake,0,1,Saskatchewan,5344
702,melfort,103,1,Saskatchewan,5992
703,melville,80,1,Saskatchewan,4562
704,midale,15,1,Saskatchewan,562
705,middle lake,36,1,Saskatchewan,242
706,montmartre,,1,Saskatchewan,476
707,moose jaw,330,3,Saskatchewan,33890
708,moosomin,58,1,Saskatchewan,2485
709,nipawin,95,1,Saskatchewan,4401
710,nokomis,14,1,Saskatchewan,397
711,norquay,30,1,Saskatchewan,435
712,outlook,45,1,Saskatchewan,2279
713,oxbow,12,1,Saskatchewan,1328
714,porcupine plain,38,1,Saskatchewan,855
715,preeceville,38,1,Saskatchewan,1070
716,radville,25,1,Saskatchewan,860
717,raymore,29,1,Saskatchewan,568
718,redvers,23,1,Saskatchewan,975
719,regina,1319,9,Saskatchewan,215106
720,rockglen,17,1,Saskatchewan,400
721,rosetown,54,1,Saskatchewan,2451
722,rosthern,68,1,Saskatchewan,1688
723,saltcoats,30,1,Saskatchewan,474
724,saskatoon,1833,16,Saskatchewan,246376
725,shaunavon,41,1,Saskatchewan,1699
726,shellbrook,33,1,Saskatchewan,1444
727,spiritwood,43,1,Saskatchewan,916
728,st. brieux,29,1,Saskatchewan,590
729,st. walburg,0,1,Saskatchewan,716
730,stoughton,30,1,Saskatchewan,694
731,strasbourg,38,1,Saskatchewan,752
732,swift current,225,1,Saskatchewan,16604
733,theodore,19,1,Saskatchewan,345
734,tisdale,72,1,Saskatchewan,3180
735,turtleford,0,1,Saskatchewan,525
736,unity,32,1,Saskatchewan,2573
737,wadena,45,1,Saskatchewan,1306
738,wakaw,46,1,Saskatchewan,985
739,warman,31,1,Saskatchewan,11020
740,watrous,43,1,Saskatchewan,1900
741,watson,51,1,Saskatchewan,777
742,wawota,29,1,Saskatchewan,560
743,weyburn,208,2,Saskatchewan,10870
744,whitewood,30,1,Saskatchewan,950
745,wilkie,29,1,Saskatchewan,1301
746,wolseley,78,1,Saskatchewan,864
747,wynyard,57,1,Saskatchewan,1767
748,yorkton,,1,Saskatchewan,16343
749,airdrie,74,2,Alberta,61581
750,athabasca,100,2,Alberta,2965
751,banff,47,1,Alberta,7847
752,barrhead,176,5,Alberta,4579
753,bashaw,30,2,Alberta,873
754,bassano,12,1,Alberta,1206
755,beaumont,46,1,Alberta,17396
756,beaverlodge,18,1,Alberta,2465
757,bentley,16,1,Alberta,1078
758,black diamond,45,1,Alberta,2700
759,blackfoot,6,1,Alberta,269
760,bonnyville,133,4,Alberta,5975
761,bow island,50,2,Alberta,1983
762,boyle,20,1,Alberta,916
763,breton,23,1,Alberta,496
764,brooks,161,3,Alberta,14451
765,calgary,8058,91,Alberta,1239220
766,camrose,458,9,Alberta,18742
767,canmore,,2,Alberta,13992
768,cardston,146,3,Alberta,3585
769,castor,27,1,Alberta,932
770,claresholm,,4,Alberta,3780
771,coaldale,89,2,Alberta,8215
772,cochrane,,2,Alberta,25853
773,cold lake,97,2,Alberta,14961
774,consort,20,1,Alberta,689
775,coronation,52,1,Alberta,947
776,daysland,42,2,Alberta,807
777,desmarais,10,1,Alberta,138
778,devon,24,1,Alberta,6578
779,didsbury,167,3,Alberta,5268
780,drayton valley,114,4,Alberta,7235
781,drumheller,174,4,Alberta,7982
782,eckville,15,1,Alberta,1125
783,edmonton,10293,92,Alberta,1062643
784,edson,108,2,Alberta,8414
785,elk point,52,2,Alberta,1452
786,evansburg,40,1,Alberta,880
787,fairview,92,1,Alberta,162
788,fort macleod,68,3,Alberta,2967
789,fort saskatchewan,121,2,Alberta,24149
790,fort vermilion,34,1,Alberta,727
791,fox creek,4,1,Alberta,1971
792,galahad,20,1,Alberta,119
793,grande cache,27,2,Alberta,3571
794,grande prairie,575,7,Alberta,63166
795,grimshaw,76,2,Alberta,2718
796,hanna,78,1,Alberta,2559
797,hardisty,20,1,Alberta,639
798,high level,45,2,Alberta,3159
799,high prairie,78,3,Alberta,2564
800,high river,185,3,Alberta,13584
801,hinton,75,3,Alberta,9882
802,hythe,31,1,Alberta,820
803,innisfail,208,2,Alberta,7847
804,islay,20,1,Alberta,208
805,jasper,27,2,Alberta,4590
806,killam,50,1,Alberta,981
807,la crete,77,3,Alberta,523
808,lac la biche,64,1,Alberta,2520
809,lacombe,221,2,Alberta,13057
810,lamont,120,1,Alberta,1774
811,leduc,329,4,Alberta,29993
812,lethbridge,1425,17,Alberta,92729
813,linden,37,1,Alberta,725
814,lloydminster,170,3,Alberta,31410
815,magrath,35,2,Alberta,2374
816,manning,27,1,Alberta,1183
817,mannville,23,1,Alberta,803
818,mayerthorpe,120,3,Alberta,1320
819,mclennan,77,2,Alberta,809
820,medicine hat,964,14,Alberta,63260
821,milk river,34,2,Alberta,811
822,morinville,74,1,Alberta,9848
823,mundare,30,1,Alberta,855
824,myrnam,9,1,Alberta,370
825,nanton,38,1,Alberta,2181
826,okotoks,200,4,Alberta,28881
827,olds,163,3,Alberta,9184
828,onoway,15,1,Alberta,1029
829,oyen,40,1,Alberta,1001
830,peace river,113,3,Alberta,6842
831,pincher creek,94,2,Alberta,3642
832,ponoka,480,4,Alberta,7229
833,provost,62,1,Alberta,1998
834,radway,30,1,Alberta,162
835,rainbow lake,,1,Alberta,870
836,raymond,102,2,Alberta,3708
837,red deer,1112,12,Alberta,100418
838,redwater,21,1,Alberta,2053
839,rimbey,107,1,Alberta,2567
840,slave lake,97,4,Alberta,6651
841,smoky lake,63,2,Alberta,1022
842,spirit river,28,1,Alberta,1025
843,st. albert,826,8,Alberta,65589
844,st. paul,11,1,Alberta,5827
845,stettler,164,2,Alberta,5952
846,stony plain,255,3,Alberta,17189
847,strathmore,188,2,Alberta,13756
848,sundre,63,2,Alberta,2729
849,swan hills,4,1,Alberta,1301
850,sylvan lake,61,2,Alberta,14816
851,taber,154,3,Alberta,8428
852,three hills,60,2,Alberta,3212
853,tofield,66,1,Alberta,2081
854,trochu,28,1,Alberta,1058
855,two hills,83,1,Alberta,1352
856,valleyview,45,1,Alberta,1863
857,vegreville,182,5,Alberta,5708
858,vermilion,113,2,Alberta,4084
859,viking,76,2,Alberta,1083
860,villeneuve,32,1,Alberta,136
861,vilna,12,1,Alberta,249
862,vulcan,69,2,Alberta,1917
863,wainwright,153,2,Alberta,6270
864,westlock,212,2,Alberta,5101
865,wetaskiwin,297,5,Alberta,12655
866,whitecourt,37,2,Alberta,1082
